filename,width,height,class,xmin,ymin,xmax,ymax
resized_429.jpg,250,250,fries,64,119,197,237
resized_1133.jpg,250,250,omelette,83,6,248,155
resized_1133.jpg,250,250,rice,44,92,159,211
resized_1854.jpg,250,250,icecream,55,108,129,188
resized_1854.jpg,250,250,apple_pie,40,131,232,240
resized_1332.jpg,250,250,fries,14,79,152,250
resized_1332.jpg,250,250,burger,113,10,234,180
resized_1621.jpg,250,250,icecream,56,54,169,141
resized_1621.jpg,250,250,apple_pie,43,99,238,235
resized_206.jpg,250,250,hotdog,43,54,215,212
resized_1752.jpg,250,250,omelette,12,16,246,249
resized_1396.jpg,250,250,rice,28,48,191,204
resized_1724.jpg,250,250,icecream,79,35,195,142
resized_1724.jpg,250,250,apple_pie,28,63,229,199
resized_928.jpg,250,250,omelette,9,20,135,182
resized_1633.jpg,250,250,rice,10,46,224,195
resized_1796.jpg,250,250,apple_pie,2,6,250,179
resized_1796.jpg,250,250,icecream,7,123,156,248
resized_445.jpg,250,250,bolonese_pasta,19,59,248,238
resized_445.jpg,250,250,bread,3,19,163,84
resized_474.jpg,250,250,icecream,11,52,78,204
resized_474.jpg,250,250,icecream,81,50,148,211
resized_474.jpg,250,250,icecream,159,46,235,217
resized_474.jpg,250,250,icecream,13,215,69,250
resized_474.jpg,250,250,icecream,81,222,145,250
resized_129.jpg,250,250,rice,56,23,196,186
resized_1620.jpg,250,250,apple_pie,77,18,186,193
resized_1620.jpg,250,250,icecream,160,30,250,148
resized_1625.jpg,250,250,rice,16,43,231,233
resized_1006.jpg,250,250,rice,1,17,250,218
resized_17.jpg,250,250,omelette,26,18,232,236
resized_398.jpg,250,250,burger,117,10,250,186
resized_1368.jpg,250,250,fries,5,34,118,180
resized_1368.jpg,250,250,burger,123,48,250,245
resized_479.jpg,250,250,rice,31,47,219,197
resized_173.jpg,250,250,omelette,116,54,250,199
resized_173.jpg,250,250,bread,4,124,129,220
resized_1681.jpg,250,250,ketchup,42,1,133,59
resized_1681.jpg,250,250,omelette,129,15,250,239
resized_1152.jpg,250,250,rice,31,54,226,205
resized_864.jpg,250,250,burger,55,1,250,120
resized_864.jpg,250,250,salad,79,87,247,250
resized_64.jpg,250,250,hotdog,67,34,201,197
resized_443.jpg,250,250,burger,40,1,204,219
resized_1497.jpg,250,250,salad,189,73,248,140
resized_499.jpg,250,250,apple_pie,13,37,233,223
resized_626.jpg,250,250,burger,26,76,206,210
resized_626.jpg,250,250,fries,106,48,242,146
resized_626.jpg,250,250,salad,29,68,78,161
resized_631.jpg,250,250,rice,13,109,216,210
resized_631.jpg,250,250,rice,74,17,250,77
resized_679.jpg,250,250,icecream,94,91,237,195
resized_1243.jpg,250,250,rice,35,51,233,195
resized_376.jpg,250,250,apple_pie,1,46,242,231
resized_376.jpg,250,250,icecream,103,78,202,161
resized_1516.jpg,250,250,omelette,3,31,247,195
resized_1516.jpg,250,250,bread,121,5,250,110
resized_384.jpg,250,250,rice,57,97,190,153
resized_189.jpg,250,250,omelette,3,77,195,250
resized_647.jpg,250,250,burger,67,67,213,246
resized_647.jpg,250,250,salad,72,107,223,172
resized_647.jpg,250,250,fries,1,35,89,198
resized_647.jpg,250,250,burger,1,7,46,64
resized_647.jpg,250,250,ketchup,82,21,118,55
resized_458.jpg,250,250,burger,21,72,248,224
resized_458.jpg,250,250,salad,166,161,247,192
resized_458.jpg,250,250,fries,1,34,141,82
resized_1569.jpg,250,250,icecream,75,12,225,139
resized_1569.jpg,250,250,apple_pie,16,71,242,218
resized_1616.jpg,250,250,rice,26,30,216,220
resized_315.jpg,250,250,fries,37,66,185,182
resized_1760.jpg,250,250,chantilly,51,2,224,146
resized_1760.jpg,250,250,apple_pie,8,66,248,234
resized_1198.jpg,250,250,burger,117,28,238,241
resized_1198.jpg,250,250,fries,11,20,120,114
resized_1677.jpg,250,250,bread,5,17,151,123
resized_1677.jpg,250,250,omelette,61,41,250,197
resized_1451.jpg,250,250,fries,19,43,221,202
resized_486.jpg,250,250,omelette,54,102,234,235
resized_486.jpg,250,250,salad,93,56,201,107
resized_1572.jpg,250,250,omelette,45,14,248,113
resized_1572.jpg,250,250,salad,21,145,249,222
resized_599.jpg,250,250,fries,1,72,250,195
resized_1840.jpg,250,250,chantilly,33,82,97,187
resized_1840.jpg,250,250,apple_pie,86,44,216,215
resized_366.jpg,250,250,omelette,58,82,245,238
resized_366.jpg,250,250,salad,48,16,132,108
resized_1260.jpg,250,250,fries,107,38,243,227
resized_1260.jpg,250,250,burger,1,50,111,219
resized_534.jpg,250,250,fries,1,59,143,239
resized_534.jpg,250,250,fries,145,1,250,92
resized_1604.jpg,250,250,rice,49,87,235,191
resized_1404.jpg,250,250,icecream,44,2,176,159
resized_1404.jpg,250,250,icecream,153,63,243,195
resized_1404.jpg,250,250,icecream,10,115,154,247
resized_168.jpg,250,250,icecream,5,87,105,192
resized_168.jpg,250,250,icecream,114,116,248,205
resized_705.jpg,250,250,carbonara,8,59,233,221
resized_1693.jpg,250,250,apple_pie,9,33,237,203
resized_33.jpg,250,250,hotdog,12,44,158,195
resized_33.jpg,250,250,fries,161,95,232,184
resized_294.jpg,250,250,burger,63,125,210,228
resized_294.jpg,250,250,fries,39,7,185,61
resized_1433.jpg,250,250,burger,73,93,192,246
resized_1433.jpg,250,250,fries,192,80,246,177
resized_328.jpg,250,250,fries,53,42,170,71
resized_328.jpg,250,250,ketchup,137,187,189,232
resized_327.jpg,250,250,hotdog,39,35,175,227
resized_1246.jpg,250,250,omelette,28,77,239,205
resized_1246.jpg,250,250,bread,111,36,217,100
resized_1308.jpg,250,250,fries,34,46,197,201
resized_309.jpg,250,250,hotdog,4,48,243,204
resized_254.jpg,250,250,fries,25,35,226,215
resized_1629.jpg,250,250,rice,59,20,209,250
resized_1130.jpg,250,250,burger,3,2,217,248
resized_1130.jpg,250,250,fries,177,118,250,245
resized_1131.jpg,250,250,omelette,7,89,211,196
resized_370.jpg,250,250,icecream,56,41,227,133
resized_1712.jpg,250,250,apple_pie,9,33,174,228
resized_1712.jpg,250,250,icecream,151,11,250,134
resized_1304.jpg,250,250,fries,28,45,238,144
resized_363.jpg,250,250,rice,23,67,206,204
resized_761.jpg,250,250,fries,27,27,126,110
resized_761.jpg,250,250,burger,115,88,189,177
resized_761.jpg,250,250,ketchup,13,155,80,204
resized_1652.jpg,250,250,rice,13,26,235,224
resized_1203.jpg,250,250,icecream,17,36,240,225
resized_58.jpg,250,250,icecream,11,128,37,159
resized_58.jpg,250,250,icecream,53,129,84,155
resized_58.jpg,250,250,icecream,98,131,120,152
resized_58.jpg,250,250,icecream,11,160,40,190
resized_507.jpg,250,250,carbonara,7,30,248,250
resized_1784.jpg,250,250,icecream,29,73,117,178
resized_1784.jpg,250,250,apple_pie,64,97,211,205
resized_1222.jpg,250,250,carbonara,12,75,244,241
resized_1087.jpg,250,250,rice,8,5,206,206
resized_909.jpg,250,250,burger,8,38,147,196
resized_909.jpg,250,250,ketchup,45,1,81,24
resized_1020.jpg,250,250,fries,31,13,232,211
resized_361.jpg,250,250,burger,50,64,188,185
resized_496.jpg,250,250,rice,49,61,187,179
resized_430.jpg,250,250,burger,41,82,210,229
resized_1197.jpg,250,250,fries,10,18,120,176
resized_1197.jpg,250,250,burger,101,1,246,131
resized_1197.jpg,250,250,ketchup,114,131,179,206
resized_1322.jpg,250,250,omelette,35,81,242,236
resized_820.jpg,250,250,rice,46,25,228,217
resized_1066.jpg,250,250,bolonese_pasta,29,12,250,241
resized_1725.jpg,250,250,apple_pie,5,79,186,232
resized_1725.jpg,250,250,chantilly,24,97,156,183
resized_1725.jpg,250,250,icecream,135,25,219,108
resized_1550.jpg,250,250,omelette,65,51,244,235
resized_1550.jpg,250,250,bread,44,2,168,81
resized_1112.jpg,250,250,bolonese_pasta,5,16,246,246
resized_607.jpg,250,250,bolonese_pasta,4,19,246,220
resized_40.jpg,250,250,hotdog,13,13,179,176
resized_1443.jpg,250,250,burger,13,2,244,249
resized_1270.jpg,250,250,bread,36,50,139,205
resized_1270.jpg,250,250,omelette,118,47,214,202
resized_195.jpg,250,250,burger,44,122,189,226
resized_195.jpg,250,250,bread,1,96,64,192
resized_787.jpg,250,250,burger,27,57,189,213
resized_787.jpg,250,250,fries,81,1,182,52
resized_360.jpg,250,250,fries,24,32,134,153
resized_360.jpg,250,250,ketchup,129,5,190,61
resized_360.jpg,250,250,hotdog,59,34,248,248
resized_1539.jpg,250,250,omelette,3,112,226,220
resized_1539.jpg,250,250,salad,28,41,189,130
resized_1447.jpg,250,250,omelette,11,84,242,233
resized_23.jpg,250,250,hotdog,62,17,207,245
resized_276.jpg,250,250,hotdog,1,27,248,248
resized_371.jpg,250,250,rice,16,84,229,193
resized_288.jpg,250,250,fries,86,49,224,227
resized_288.jpg,250,250,ketchup,1,75,65,142
resized_830.jpg,250,250,burger,19,80,214,250
resized_830.jpg,250,250,burger,5,17,56,136
resized_830.jpg,250,250,burger,54,15,125,95
resized_830.jpg,250,250,fries,115,3,214,95
resized_830.jpg,250,250,ketchup,1,4,20,46
resized_1212.jpg,250,250,icecream,67,34,223,196
resized_1551.jpg,250,250,omelette,104,64,229,217
resized_1096.jpg,250,250,fries,46,7,201,230
resized_1170.jpg,250,250,omelette,5,3,133,243
resized_1272.jpg,250,250,omelette,30,81,172,156
resized_1272.jpg,250,250,bread,1,160,119,222
resized_1272.jpg,250,250,bread,124,72,247,163
resized_1272.jpg,250,250,salad,117,164,206,216
resized_802.jpg,250,250,fries,35,70,193,244
resized_802.jpg,250,250,hotdog,27,41,211,102
resized_1195.jpg,250,250,fries,11,26,250,192
resized_1521.jpg,250,250,rice,40,81,175,201
resized_356.jpg,250,250,hotdog,7,1,136,249
resized_356.jpg,250,250,hotdog,130,1,249,249
resized_1802.jpg,250,250,icecream,73,30,198,169
resized_1081.jpg,250,250,fries,3,20,210,212
resized_509.jpg,250,250,fries,41,47,124,218
resized_509.jpg,250,250,fries,112,50,233,214
resized_1160.jpg,250,250,rice,18,29,170,112
resized_1160.jpg,250,250,rice,28,104,242,244
resized_480.jpg,250,250,fries,7,16,245,250
resized_1561.jpg,250,250,bread,10,88,131,205
resized_1778.jpg,250,250,apple_pie,60,25,177,102
resized_1778.jpg,250,250,apple_pie,126,77,241,195
resized_1778.jpg,250,250,apple_pie,17,110,186,231
resized_436.jpg,250,250,burger,1,93,250,226
resized_696.jpg,250,250,omelette,64,67,193,168
resized_1101.jpg,250,250,omelette,141,29,250,242
resized_1101.jpg,250,250,fries,1,28,112,138
resized_1101.jpg,250,250,bread,3,80,158,228
resized_1682.jpg,250,250,apple_pie,57,31,237,220
resized_1682.jpg,250,250,icecream,35,80,129,203
resized_1357.jpg,250,250,omelette,5,82,209,244
resized_1357.jpg,250,250,salad,2,60,76,91
resized_1504.jpg,250,250,burger,1,5,249,249
resized_1668.jpg,250,250,apple_pie,92,22,236,172
resized_1668.jpg,250,250,icecream,47,14,130,116
resized_711.jpg,250,250,burger,2,99,242,214
resized_240.jpg,250,250,hotdog,71,49,219,218
resized_1001.jpg,250,250,burger,12,85,94,213
resized_1001.jpg,250,250,fries,91,83,199,198
resized_1001.jpg,250,250,beer,207,2,250,73
resized_1256.jpg,250,250,burger,4,79,124,173
resized_1256.jpg,250,250,fries,116,60,231,160
resized_1042.jpg,250,250,omelette,2,15,250,237
resized_1564.jpg,250,250,rice,31,33,222,211
resized_272.jpg,250,250,fries,39,57,193,193
resized_498.jpg,250,250,burger,137,56,230,179
resized_498.jpg,250,250,fries,59,80,151,211
resized_235.jpg,250,250,burger,25,20,227,211
resized_235.jpg,250,250,burger,149,1,230,50
resized_1579.jpg,250,250,rice,47,42,223,227
resized_811.jpg,250,250,omelette,9,81,222,220
resized_811.jpg,250,250,bread,168,19,250,167
resized_811.jpg,250,250,bread,1,12,88,134
resized_426.jpg,250,250,rice,45,39,186,234
resized_1900.jpg,250,250,apple_pie,24,8,231,243
resized_576.jpg,250,250,burger,10,99,119,162
resized_576.jpg,250,250,burger,7,138,139,240
resized_576.jpg,250,250,burger,99,85,201,134
resized_576.jpg,250,250,burger,104,116,220,176
resized_741.jpg,250,250,burger,27,6,186,132
resized_741.jpg,250,250,ketchup,65,196,145,250
resized_741.jpg,250,250,fries,7,78,158,212
resized_308.jpg,250,250,rice,48,43,187,205
resized_1023.jpg,250,250,rice,70,118,192,221
resized_749.jpg,250,250,fries,4,41,250,224
resized_641.jpg,250,250,fries,4,47,250,211
resized_213.jpg,250,250,bolonese_pasta,17,46,204,247
resized_213.jpg,250,250,bread,169,28,250,156
resized_213.jpg,250,250,salad,135,6,221,39
resized_37.jpg,250,250,omelette,29,18,231,235
resized_555.jpg,250,250,fries,17,33,249,124
resized_444.jpg,250,250,rice,40,78,227,178
resized_1705.jpg,250,250,apple_pie,3,2,250,224
resized_396.jpg,250,250,omelette,23,86,228,216
resized_505.jpg,250,250,rice,22,15,235,188
resized_750.jpg,250,250,chantilly,84,1,173,72
resized_750.jpg,250,250,icecream,21,107,148,243
resized_750.jpg,250,250,icecream,1,86,67,195
resized_750.jpg,250,250,icecream,88,52,168,134
resized_750.jpg,250,250,icecream,38,42,115,122
resized_413.jpg,250,250,fries,20,60,147,236
resized_1180.jpg,250,250,bolonese_pasta,10,61,246,250
resized_997.jpg,250,250,fries,14,39,189,175
resized_623.jpg,250,250,carbonara,19,41,233,214
resized_127.jpg,250,250,bolonese_pasta,45,53,187,227
resized_350.jpg,250,250,fries,152,20,250,124
resized_350.jpg,250,250,hotdog,73,72,181,232
resized_350.jpg,250,250,ketchup,91,35,140,75
resized_350.jpg,250,250,hotdog,1,80,92,249
resized_1590.jpg,250,250,icecream,33,62,210,200
resized_316.jpg,250,250,burger,5,16,250,155
resized_1200.jpg,250,250,rice,65,34,216,127
resized_155.jpg,250,250,fries,149,79,242,217
resized_177.jpg,250,250,fries,70,51,238,232
resized_1469.jpg,250,250,fries,46,86,192,151
resized_1395.jpg,250,250,icecream,30,53,95,143
resized_1395.jpg,250,250,icecream,104,56,151,144
resized_1395.jpg,250,250,icecream,173,63,221,137
resized_1733.jpg,250,250,apple_pie,24,77,240,227
resized_118.jpg,250,250,carbonara,61,61,190,234
resized_1501.jpg,250,250,burger,23,1,183,193
resized_1501.jpg,250,250,fries,130,92,250,249
resized_1478.jpg,250,250,icecream,91,49,179,135
resized_1478.jpg,250,250,apple_pie,40,85,225,193
resized_1315.jpg,250,250,fries,45,28,221,207
resized_904.jpg,250,250,rice,37,78,116,141
resized_1895.jpg,250,250,apple_pie,32,58,225,173
resized_330.jpg,250,250,hotdog,4,88,250,247
resized_753.jpg,250,250,burger,6,45,240,230
resized_753.jpg,250,250,ketchup,119,2,186,41
resized_1086.jpg,250,250,omelette,20,74,249,198
resized_1086.jpg,250,250,fries,78,19,212,88
resized_406.jpg,250,250,bolonese_pasta,44,46,228,225
resized_406.jpg,250,250,salad,88,57,168,127
resized_506.jpg,250,250,carbonara,42,53,220,236
resized_1049.jpg,250,250,burger,70,112,225,248
resized_1049.jpg,250,250,fries,31,25,126,111
resized_1049.jpg,250,250,fries,122,19,218,104
resized_1789.jpg,250,250,apple_pie,4,7,243,228
resized_1789.jpg,250,250,icecream,58,47,196,175
resized_1400.jpg,250,250,omelette,29,14,201,188
resized_1400.jpg,250,250,rice,128,146,216,242
resized_1064.jpg,250,250,burger,16,27,248,217
resized_1432.jpg,250,250,omelette,59,24,216,238
resized_1743.jpg,250,250,apple_pie,4,57,235,235
resized_159.jpg,250,250,hotdog,7,81,233,226
resized_1538.jpg,250,250,omelette,24,71,247,163
resized_950.jpg,250,250,fries,73,30,250,245
resized_1839.jpg,250,250,icecream,63,20,197,170
resized_1839.jpg,250,250,apple_pie,23,50,216,206
resized_1408.jpg,250,250,icecream,69,27,176,120
resized_1408.jpg,250,250,icecream,159,94,247,175
resized_1408.jpg,250,250,icecream,68,109,174,196
resized_1408.jpg,250,250,icecream,16,93,94,167
resized_1791.jpg,250,250,chantilly,45,19,207,182
resized_1791.jpg,250,250,apple_pie,2,36,243,231
resized_418.jpg,250,250,bolonese_pasta,3,50,250,229
resized_842.jpg,250,250,fries,9,64,137,126
resized_842.jpg,250,250,burger,17,118,199,241
resized_1344.jpg,250,250,icecream,111,6,250,184
resized_1588.jpg,250,250,omelette,147,11,242,109
resized_1428.jpg,250,250,omelette,31,42,130,229
resized_1428.jpg,250,250,bread,147,40,212,201
resized_868.jpg,250,250,burger,9,58,250,245
resized_868.jpg,250,250,hotdog,1,1,134,29
resized_61.jpg,250,250,icecream,50,2,191,143
resized_61.jpg,250,250,chantilly,31,122,215,236
resized_491.jpg,250,250,icecream,31,89,124,170
resized_491.jpg,250,250,apple_pie,130,19,250,160
resized_1600.jpg,250,250,rice,70,70,214,182
resized_501.jpg,250,250,bolonese_pasta,26,10,236,242
resized_131.jpg,250,250,fries,41,36,226,218
resized_1174.jpg,250,250,burger,26,12,215,209
resized_514.jpg,250,250,carbonara,12,21,246,206
resized_1615.jpg,250,250,bread,10,189,168,250
resized_1807.jpg,250,250,icecream,2,79,141,223
resized_386.jpg,250,250,fries,53,68,196,125
resized_386.jpg,250,250,hotdog,44,122,213,192
resized_1402.jpg,250,250,fries,38,38,194,199
resized_467.jpg,250,250,hotdog,1,18,33,164
resized_467.jpg,250,250,fries,42,24,207,213
resized_166.jpg,250,250,rice,17,18,215,223
resized_49.jpg,250,250,apple_pie,47,50,220,237
resized_49.jpg,250,250,icecream,98,18,187,108
resized_1877.jpg,250,250,apple_pie,48,32,181,168
resized_1877.jpg,250,250,icecream,168,43,240,120
resized_66.jpg,250,250,rice,48,80,226,236
resized_1036.jpg,250,250,burger,56,89,194,214
resized_1327.jpg,250,250,omelette,8,88,249,200
resized_1583.jpg,250,250,omelette,17,25,203,227
resized_755.jpg,250,250,rice,5,51,240,189
resized_1342.jpg,250,250,fries,89,23,208,155
resized_1084.jpg,250,250,bolonese_pasta,27,19,237,197
resized_1015.jpg,250,250,icecream,32,87,231,189
resized_799.jpg,250,250,bolonese_pasta,9,52,247,196
resized_653.jpg,250,250,icecream,33,8,250,244
resized_1508.jpg,250,250,omelette,1,111,226,245
resized_1508.jpg,250,250,bread,77,54,245,171
resized_1772.jpg,250,250,apple_pie,8,131,182,197
resized_1772.jpg,250,250,apple_pie,51,84,210,138
resized_1772.jpg,250,250,apple_pie,100,38,242,104
resized_1772.jpg,250,250,bread,217,154,250,229
resized_1090.jpg,250,250,fries,14,139,223,250
resized_44.jpg,250,250,bread,1,56,108,182
resized_44.jpg,250,250,omelette,82,58,215,214
resized_44.jpg,250,250,bread,3,151,97,250
resized_44.jpg,250,250,bread,177,175,250,247
resized_44.jpg,250,250,bread,194,65,250,174
resized_283.jpg,250,250,hotdog,73,105,143,201
